Razão Social (Registro ANS);Cobertura;Porte;Classificação no Mês;Classificação no Mês Anterior;jan/18;dez/17;nov/17;out/17;set/17;ago/17;jul/17;jun/17;mai/17;abr/17;mar/17;fev/17;Competência;Data de atualização
PREVENT SENIOR CORPORATE OPERADORA DE SAÚDE LTDA. (413267);Médico Hospitalar;Pequeno;12;11;41,49;41,38;123,8;123,63;123,46;82,3;41,15;41,04;81,86;163,04;162,6;81,08;201801;26/02/2018 11:03
PREVENT SENIOR PRIVATE OPERADORA DE SAÚDE LTDA (302147);Médico Hospitalar;Grande;11;5;4,92;7,02;7,05;6,47;4,76;5,44;5,62;5,91;6,23;6,48;6,82;5,58;201801;26/02/2018 11:03
PRO SALUTE SERVIÇOS PARA A SAÚDE LTDA. (369373);Médico Hospitalar;Médio;169;158;0,58;0,77;1,15;0,96;0,96;0,96;0,77;0,58;0,96;1,71;1,89;1,69;201801;26/02/2018 11:03
PROASA - PROGRAMA ADVENTISTA DE  SAÚDE (310522);Médico Hospitalar;Pequeno;115;154;1,63;1,09;1,09;0;0;0,54;0,54;0,54;0,55;0,55;0,55;0,55;201801;26/02/2018 11:03
PROMED ASSISTENCIA MEDICA LTDA (348805);Médico Hospitalar;Grande;20;19;3,77;4,14;4,32;4,73;5,58;5,59;5,39;4,67;5,2;4,81;4,73;4,31;201801;26/02/2018 11:03
PROMED ASSISTÊNCIA MÉDICA LTDA (410632);Médico Hospitalar;Médio;36;43;3,95;3,99;3,42;3,63;3,03;2,43;2,45;1,86;1,88;2,12;3,02;4,16;201801;26/02/2018 11:03
PROMÉDICA - PROTEÇÃO MEDICA A EMPRESAS S.A. (326861);Médico Hospitalar;Médio;56;62;2,86;2,88;3,94;4,96;4,44;3,07;2,21;3,05;3,37;2,63;3,04;3,74;201801;26/02/2018 11:03
PRONTOCLINICA E HOSPITAIS SAO LUCAS S/A (305626);Médico Hospitalar;Pequeno;123;128;1,51;1,52;0;0;0;0;1,56;1,57;1,57;0;0;0;201801;26/02/2018 11:03
PRONTOMED ASSISTÊNCIA MEDICA LTDA. (403849);Médico Hospitalar;Pequeno;32;22;12,59;20,15;42,81;40,29;40,29;22,66;22,66;17,63;20,15;15,11;20,15;20,15;201801;26/02/2018 11:03
PRONTOMED NOVO HAMBURGO - PRONTO SOCORRO MÉDICO DE NOVO HAMBURGO LTDA. (302490);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
PRONTOMED PLANOS DE SAÚDE LTDA (301728);Médico Hospitalar;Médio;175;204;0,53;0,26;0,53;0,78;0,79;0,26;0;0,27;0,53;0,53;0,26;0;201801;26/02/2018 11:03
PRONTOMEDICO PLANO DE ASSISTENCIA MEDICA LTDA (362182);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
QUALLITY SAÚDE ASSISTÊNCIA MÉDICA AMBULATORIAL LTDA (418170);Médico Hospitalar;Médio;48;33;3,26;4,88;5,2;6,79;8,34;7,69;8,03;5,18;8,11;6;7,08;4,16;201801;26/02/2018 11:03
RBS PARTICIPAÇÕES S/A (418862);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
REAL GRANDEZA - FUNDAÇÃO DE PREVIDÊNCIA E ASSISTÊNCIA SOCIAL (331317);Médico Hospitalar;Médio;59;51;2,79;3,43;3,42;2,58;2,4;2,71;4,13;4,59;5,53;4,41;5,19;4,71;201801;26/02/2018 11:03
R.M.I. OPERADORA DE SAÚDE INTEGRADA LTDA (420271);Médico Hospitalar;Pequeno;189;48;0;7,04;14,67;22,92;26,81;23,44;46,08;59,41;;;;;201801;26/02/2018 11:03
RN METROPOLITAN LTDA (414131);Médico Hospitalar;Médio;70;64;2,2;2,8;2,25;1,9;1,07;0,99;1;0,84;0,67;0,51;0,69;0,86;201801;26/02/2018 11:03
SALUTAR SAÚDE SEGURADORA S/A (000027);Médico Hospitalar;Médio;2;2;19,99;26,57;35,12;42,87;42,45;46,58;45,1;39,45;30,87;22,55;20,06;15,57;201801;26/02/2018 11:03
SAMED - SERVIÇOS DE ASSISTÊNCIA MÉDICA, ODONTOLÓGICA E HOSPITALAR S.A. (309192);Médico Hospitalar;Médio;27;36;4,78;4,61;6,31;6,03;7,31;7,12;6,2;4,76;3,67;4,06;3,79;4,13;201801;26/02/2018 11:03
SAMEDIL SERVIÇOS DE ATENDIMENTO MÉDICO S/A (335614);Médico Hospitalar;Pequeno;120;125;1,54;1,57;2,65;3,75;4,33;5,47;3,34;3,42;4,07;4,73;4,21;1,23;201801;26/02/2018 11:03
SAMEL PLANO DE SAÚDE LTDA (367095);Médico Hospitalar;Médio;171;202;0,57;0,29;0,29;0;0;0,3;0,3;0,3;0;0;0;0;201801;26/02/2018 11:03
SAME-SERVIÇO DE ASSISTÊNCIA MÉDICA EMPRESARIAL LTDA. (415901);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
SAMIG - SERV. DE ASSISTENCIA MEDICA DA ILHA DO GOVERNADOR LTDA (340162);Médico Hospitalar;Pequeno;189;138;0;1,28;2,59;2,62;1,31;0;1,31;2,64;4;2,68;1,33;0;201801;26/02/2018 11:03
SAMOC S.A. - SOCIEDADE ASSISTENCIAL MÉDICA E ODONTO CIRÚRGICA (343676);Médico Hospitalar;Pequeno;42;47;9,21;7,56;10,15;9,39;12,07;11,29;12,23;11,39;10,51;7,06;11,57;12,6;201801;26/02/2018 11:03
SAMP ESPÍRITO SANTO ASSISTÊNCIA MÉDICA LTDA. (342033);Médico Hospitalar;Grande;53;51;1,42;1,64;1,56;1,79;1,54;1,9;1,69;1,79;1,62;1,58;1,41;1,23;201801;26/02/2018 11:03
SAMP MINAS ASSISTÊNCIA MÉDICA LTDA. (346471);Médico Hospitalar;Médio;35;49;3,99;3,53;4,05;2,05;1,54;1,03;2,06;1,54;2,05;2,02;2,98;2,43;201801;26/02/2018 11:03
SANTA CASA DA MISERICÓRDIA DE SÃO JOÃO DEL REI (408522);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;3,38;3,29;3,25;0;0;0;201801;26/02/2018 11:03
SANTA CASA DE MISERICÓRDIA DE JUIZ DE FORA (342807);Médico Hospitalar;Médio;212;214;0,2;0,2;0,79;0,6;0,6;0,8;1,2;1,4;0,8;0,6;1;0,8;201801;26/02/2018 11:03
SANTA CASA DE MISERICORDIA DE PONTA GROSSA (419338);Médico Hospitalar;Pequeno;179;151;0,57;1,13;1,13;0,57;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
SANTA CASA DE MISERICORDIA DE SAO JOAQUIM DA BARRA (345091);Médico Hospitalar;Médio;98;156;1,61;0,8;0,8;0;0;0,4;0,4;0,4;0;0,4;0,4;0,8;201801;26/02/2018 11:03
SANTA CASA DE MISERICORDIA DE SÃO JOSÉ DO RIO PARDO - HOSPITAL SÃO VICENTE (353264);Médico Hospitalar;Pequeno;189;194;0;0;1,24;1,24;1,24;2,48;2,47;2,47;0;1,22;1,22;0,94;201801;26/02/2018 11:03
SANTA CASA DE MISERICÓRDIA DE TUPÃ (306045);Médico Hospitalar;Pequeno;189;194;0;0;0;0;1,98;1,98;1,98;0;0;0;0;1,94;201801;26/02/2018 11:03
SANTA CASA DE MISERICÓRDIA DE VOTUPORANGA (330116);Médico Hospitalar;Pequeno;125;176;1,45;0,73;0,73;0,74;0,74;1,49;0,75;0,75;0;0;0;0;201801;26/02/2018 11:03
SANTA CASA DE MISERICÓRDIA E ASILO DOS POBRES DE BATATAIS (344915);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
SANTA CASA DE SAÚDE - SCS (420085);Médico Hospitalar;Pequeno;53;60;5,52;5,5;3,29;2,18;1,09;3,25;3,23;3,21;1,06;0;0;0;201801;26/02/2018 11:03
SANTA HELENA ASSISTÊNCIA MÉDICA S/A. (355097);Médico Hospitalar;Grande;24;29;3,45;3,53;3,35;3,3;3,32;3,65;4,31;4,96;5,72;5,74;5,96;4,62;201801;26/02/2018 11:03
SANTA LUZIA ASSISTENCIA MEDICA S.A. (358509);Médico Hospitalar;Pequeno;45;43;8,15;8,23;8,34;2,11;0;0;0;2,15;8,58;12,75;12,64;6,24;201801;26/02/2018 11:03
SANTA RITA SAUDE S/A. (348180);Médico Hospitalar;Médio;84;112;1,8;1,44;1,45;1,46;1,46;0,92;0,74;0,92;1,11;2,04;2,05;1,86;201801;26/02/2018 11:03
SANTA RITA SISTEMA DE SAUDE LTDA (413194);Médico Hospitalar;Médio;4;10;14,63;8,43;9,33;7,12;8,02;7,14;8,03;8,49;10,73;9,38;8,93;6,25;201801;26/02/2018 11:03
SANTO ANDRÉ PLANOS DE ASSISTENCIA MÉDICA LTDA. (400190);Médico Hospitalar;Médio;11;6;7,19;9,36;9,56;8,15;9,88;10,34;12;10,92;11,18;11,97;12,17;12,2;201801;26/02/2018 11:03
SÃO DOMINGOS SAÚDE- ASSISTÊNCIA MÉDICA  LTDA (319180);Médico Hospitalar;Pequeno;189;194;0;0;0,82;0,83;0,84;0;0;0;0;0;0;0;201801;26/02/2018 11:03
SÃO FRANCISCO ASSISTÊNCIA MÉDICA LTDA (403962);Médico Hospitalar;Pequeno;88;77;2,77;3,9;3,37;3,95;4,5;3,94;3,36;0,56;2,79;2,79;4,46;3,88;201801;26/02/2018 11:03
SÃO FRANCISCO SISTEMAS DE SAÚDE SOCIEDADE EMPRESÁRIA LIMITADA (302091);Médico Hospitalar;Grande;44;44;2,07;2,29;2,43;2,82;2,97;3,08;2,52;2,05;2,3;2,23;2,44;2,04;201801;26/02/2018 11:03
SÃO LUCAS SAÚDE S/A (344362);Médico Hospitalar;Médio;160;153;0,69;0,81;0,81;0,93;0,58;0,81;0,58;1,04;1,28;1,05;0,94;0,59;201801;26/02/2018 11:03
SAO PAULO TRANSPORTE S.A. (381799);Médico Hospitalar;Pequeno;189;194;0;0;0;2,27;2,27;2,27;0;0;0;0;0;0;201801;26/02/2018 11:03
SAUDE - SISTEMA ASSISTENCIAL UNIFICADO DE EMPRESAS - SOCIEDADE SIMPLES (410047);Médico Hospitalar;Médio;61;66;2,73;2,74;3,67;4,59;4,53;3,57;2,8;2,47;3,17;2,66;2,97;1,63;201801;26/02/2018 11:03
SAÚDE BRB - CAIXA DE ASSISTÊNCIA  (414310);Médico Hospitalar;Pequeno;102;112;2,06;2,06;0;0;1,04;1,04;2,08;1,04;2,08;1,04;3,13;2,09;201801;26/02/2018 11:03
SAUDE CASSEB ASSISTENCIA MEDICA LTDA (418781);Médico Hospitalar;Pequeno;67;72;4,13;4,43;3,17;5,07;3,61;3,86;2,07;4,75;8,33;9,97;10,86;11,86;201801;26/02/2018 11:03
SAÚDE GOIÂNIA LTDA (401196);Médico Hospitalar;Pequeno;34;39;12,18;10,1;10,84;9,89;10,16;6,76;4,46;2,66;3,48;1,45;2,24;0,77;201801;26/02/2018 11:03
SAUDE PAS - MEDICINA E ODONTO (409243);Médico Hospitalar;Médio;91;118;1,69;1,4;0,83;1,67;2,82;3,16;2,34;1,49;1,51;0,92;0,93;0,32;201801;26/02/2018 11:03
SAÚDE QUALITY LTDA. (367729);Médico Hospitalar;Pequeno;189;194;0;0;3,75;7,32;9,74;8,46;9,89;9,21;26,52;31,32;43,32;31,3;201801;26/02/2018 11:03
SAÚDE SANTA TEREZA LTDA. (414930);Médico Hospitalar;Médio;180;144;0,49;0,99;0,98;0,49;0,5;1,51;1,52;1;0,99;0,98;0,97;0;201801;26/02/2018 11:03
SAÚDE SIM LTDA (320111);Médico Hospitalar;Médio;9;12;7,61;7,42;8,66;8,42;6,82;6,55;5,92;5,89;6,41;5,32;6,76;6,93;201801;26/02/2018 11:03
SBC SAÚDE LTDA. (412058);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
SEPACO SAÚDE LTDA (407224);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;12,15;23,2;23,2;34,8;23,2;23,2;201801;26/02/2018 11:03
SERMED-SAÚDE LTDA. (303739);Médico Hospitalar;Médio;213;176;0,18;0,52;0,68;0,67;0,5;0,5;0,83;0,83;0,68;0,34;0,7;0,7;201801;26/02/2018 11:03
SERPRAM-SERV.DE PREST.DE ASSISTÊNCIA MEDICO-HOSPITALAR S/A (306649);Médico Hospitalar;Médio;214;215;0,17;0,17;0;0,18;0,36;0,55;0,57;0,4;0,2;0;0;0;201801;26/02/2018 11:03
SERVIÇO FEDERAL DE PROCESSAMENTO DE DADOS (SERPRO) (345474);Médico Hospitalar;Médio;154;68;0,76;2,68;3,45;2,69;1,15;1,92;4,63;5,02;3,87;1,55;1,16;2,33;201801;26/02/2018 11:03
SERVIÇO SOCIAL DA INDÚSTRIA DO PAPEL, PAPELÃO E CORTIÇA DO ESTADO DE SÃO PAULO - SEPACO (420077);Médico Hospitalar;Médio;163;169;0,64;0,64;0,64;0,32;0,32;0,16;0,48;1,28;1,44;1,12;0,48;0;201801;26/02/2018 11:03
SERVMED SAÚDE LTDA (326356);Médico Hospitalar;Pequeno;189;178;0;0,69;1,39;1,38;0,69;0;0;0;0;0;0;0;201801;26/02/2018 11:03
SINDIFISCO NACIONAL - SINDICATO NACIONAL DOS AUDITORES-FISCAIS DA RECEITA FEDERAL DO BRASIL (361011);Médico Hospitalar;Pequeno;75;64;3,69;5,18;3,71;2,23;1,49;2,23;2,24;1,49;2,24;2,99;4,48;5,22;201801;26/02/2018 11:03
SISTEMA TOTAL DE SAÚDE LTDA. (402001);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0,8;0,79;0,79;0;0;0,77;0,77;0,76;201801;26/02/2018 11:03
SISTEMAS E PLANOS DE SAÚDE LTDA. (352586);Médico Hospitalar;Médio;119;116;1,27;1,4;1,14;0,63;0,63;0,87;0,99;0,86;0,73;0,97;0,85;0,61;201801;26/02/2018 11:03
SMEDSJ - SERVIÇOS MÉDICOS SÃO JOSE LTDA (349755);Médico Hospitalar;Pequeno;89;81;2,61;3,65;4,7;5,75;4,71;2,62;2,62;1,58;2,1;1,57;3,11;4,13;201801;26/02/2018 11:03
SMH - SOCIEDADE MÉDICO HOSPITALAR LTDA (351644);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
SMS - ASSISTÊNCIA MÉDICA LTDA (311405);Médico Hospitalar;Pequeno;27;36;15,52;11,04;10,74;17,05;24,22;32,19;49,06;56,43;64,87;53,55;59,26;58,82;201801;26/02/2018 11:03
SMV SERVIÇOS MÉDICOS LTDA (349194);Médico Hospitalar;Médio;174;155;0,53;0,8;0,54;0,82;1,09;1,38;1,93;2,22;2,5;1,67;1,11;1,12;201801;26/02/2018 11:03
SOBAM CENTRO MÉDICO HOSPITALAR S.A. (326500);Médico Hospitalar;Grande;57;53;1,19;1,56;1,56;1,38;1,2;1,12;1,04;0,95;1,43;1,33;1,25;0,77;201801;26/02/2018 11:03
SOCIAL-SOCIEDADE ASSISTENCIAL E CULTURAL (315630);Médico Hospitalar;Pequeno;6;6;75,51;85,41;73,27;61,43;68,92;46,47;43,9;16,94;16,61;16,38;16,23;24,35;201801;26/02/2018 11:03
SOCIEDADE BENECAP DE ASSISTÊNCIA À SAÚDE (415898);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
SOCIEDADE BENEFICENTE DEZOITO DE JULHO (413721);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;1,71;1,7;3,4;1,69;1,69;0;201801;26/02/2018 11:03
SOCIEDADE DE ASSISTÊNCIA MÉDICA - SAMEISA (411809);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
SOCIEDADE DIVINA PROVIDÊNCIA - SAÚDE CONCEIÇÃO (330892);Médico Hospitalar;Pequeno;155;167;0,89;0,89;0,89;0;0;0,89;0,89;0,89;0;0,89;0,89;0,89;201801;26/02/2018 11:03
SOCIEDADE ESPANHOLA DE BENEFICENCIA (306207);Médico Hospitalar;Pequeno;189;194;0;0;10,81;10,81;10,81;10,81;10,81;10,81;0;0;0;0;201801;26/02/2018 11:03
SOCIEDADE PORTUGUESA DE BENEFICÊNCIA (413372);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
SOMPO SAÚDE SEGUROS S.A. TESTE (000477);Médico Hospitalar;Grande;21;15;3,72;4,84;4,58;4,38;4,27;4,65;5,03;4,77;5,21;5,11;4,41;4,14;201801;26/02/2018 11:03
S.P.A SAUDE- SISTEMA DE PROMOÇÃO ASSISTENCIAL (324493);Médico Hospitalar;Pequeno;186;192;0,52;0,52;0,52;0,52;0,52;0,53;0;0;0;0;0,53;0,53;201801;26/02/2018 11:03
SUL AMERICA COMPANHIA DE SEGURO SAÚDE (006246);Médico Hospitalar;Grande;10;12;4,97;5,49;5,65;6,27;6,44;6,28;5,84;5,12;5,19;4,75;5,11;4,59;201801;26/02/2018 11:03
SUL AMÉRICA SERVIÇOS DE SAÚDE S.A. (416428);Médico Hospitalar;Grande;37;36;2,47;2,82;2,83;3,22;3,49;3,58;3,38;2,89;2,74;2,07;1,74;1,2;201801;26/02/2018 11:03
SULMED - ASSISTÊNCIA MÉDICA LTDA (338346);Médico Hospitalar;Pequeno;161;171;0,86;0,83;0,8;0,79;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
TELOS - FUNDAÇÃO EMBRATEL DE SEGURIDADE SOCIAL (316849);Médico Hospitalar;Pequeno;80;50;3,46;6,93;3,46;10,37;13,83;13,82;6,91;0;0;0;0;13,75;201801;26/02/2018 11:03
TERRAMAR ADMINISTRADORA DE PLANO DE SAUDE LTDA (412759);Médico Hospitalar;Médio;46;58;3,46;3,16;3,14;3,98;3,97;5,93;6,48;7,58;9,8;11,42;10,8;8,24;201801;26/02/2018 11:03
TUIUIU ADMINISTRADORES DE PLANO DE SAUDE LTDA (412252);Médico Hospitalar;Pequeno;163;194;0,79;0;0,77;1,54;1,55;0,78;0;0,85;0,88;1,82;0,93;0,95;201801;26/02/2018 11:03
UNIAO DE CLINICAS RIO GRANDE LTDA (361852);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0,64;0,64;0,63;0;0;0;0;0;201801;26/02/2018 11:03
UNIÃO MÉDICA - COOPERATIVA DE TRABALHO MÉDICO DE FEIRA DE SANTANA (414581);Médico Hospitalar;Médio;6;5;11,32;10,62;10,31;10,38;12,91;14,76;15,22;14,05;11,46;8,45;10,01;12,68;201801;26/02/2018 11:03
UNIÃO SAÚDE LTDA. (314609);Médico Hospitalar;Pequeno;54;63;5,47;5,24;5,81;2,08;2,2;1,8;2,32;1,87;2,52;2,44;2,74;2,38;201801;26/02/2018 11:03
UNIHOSP - SERVIÇOS DE SAÚDE LTDA. (412538);Médico Hospitalar;Médio;16;22;6,24;6,04;6,6;4,87;6,01;5,85;6,98;5,91;6,15;4,53;6,08;4,97;201801;26/02/2018 11:03
UNIHOSP SAÚDE S.A. (385255);Médico Hospitalar;Pequeno;43;31;8,63;12,91;15,56;20,13;27,73;45,15;58,7;50,23;29,79;7,18;2,09;2,1;201801;26/02/2018 11:03
UNIMED - BELO HORIZONTE COOPERATIVA DE TRABALHO MÉDICO (343889);Médico Hospitalar;Grande;42;43;2,18;2,31;2,45;2,3;2,2;2,25;2,35;2,31;2,24;2,12;2,42;2,48;201801;26/02/2018 11:03
UNIMED - COOPERATIVA DE SERVIÇOS DE SAÚDE DOS VALES DO TAQUARI E RIO PARDO LTDA. (306398);Médico Hospitalar;Grande;67;64;0,78;1,04;0,78;0,52;0,26;0,39;0,45;0,52;0,52;0,58;0,45;0,32;201801;26/02/2018 11:03
UNIMED ALEM PARAIBA COOPERATIVA DE TRABALHO MEDICO LTDA (313955);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
UNIMED ALFENAS COOPERATIVA DE TRABALHO MEDICO (354996);Médico Hospitalar;Pequeno;55;65;5,17;5,14;3,07;3,05;8,14;10,19;9,19;2,04;2,03;3,03;7,05;7,04;201801;26/02/2018 11:03
UNIMED ALTA MOGIANA COOPERATIVA DE TRABALHO MÉDICO (324159);Médico Hospitalar;Pequeno;182;190;0,54;0,54;1,07;1,06;1,04;0;0;0,51;0,51;1,02;1,53;1,52;201801;26/02/2018 11:03
UNIMED ALTO DA SERRA - SOCIEDADE COOPERATIVA DE SERVIÇO MÉDICO LTDA. (343684);Médico Hospitalar;Pequeno;189;169;0;0,87;0,86;0,85;0;0,85;1,68;1,67;0,83;0,82;1,65;1,64;201801;26/02/2018 11:03
UNIMED ALTO JACUÍ/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA (352519);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
UNIMED ALTO PARANAIBA COOPERATIVA DE TRABALHO MEDICO (341819);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
UNIMED ALTO SÃO FRANCISCO COOPERATIVA DE TRABALHO MÉDICO (348261);Médico Hospitalar;Pequeno;189;194;0;0;0,61;0,61;1,83;1,22;1,22;0;0;0;0;0;201801;26/02/2018 11:03
UNIMED ALTO URUGUAI/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA. (306959);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
UNIMED ALTO VALE - COOPERATIVA DE TRABALHO MÉDICO (372561);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
UNIMED AMPARO COOPERATIVA DE TRABALHO MÉDICO (345598);Médico Hospitalar;Médio;219;218;0;0;0;0;0;0;0;0;0,52;0,52;0,78;0,52;201801;26/02/2018 11:03
UNIMED ANÁPOLIS COOPERATIVA DE TRABALHO MÉDICO. (312347);Médico Hospitalar;Médio;99;129;1,6;1,29;0,97;0,64;0,97;0,97;0,99;1,98;1,66;1,32;0,67;0,67;201801;26/02/2018 11:03
UNIMED ANDRADAS COOPERATIVA DE TRABALHO MÉDICO (352861);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;1,66;1,66;1,66;0;201801;26/02/2018 11:03
UNIMED ANGRA DOS REIS COOPERATIVA DE TRABALHO MEDICO (322547);Médico Hospitalar;Médio;3;3;18,73;20,32;24,27;19,4;16,34;12,57;12,67;14,14;16,81;10,84;6,83;4,07;201801;26/02/2018 11:03
UNIMED APUCARANA COOPERATIVA DE TRABALHO MÉDICO (358096);Médico Hospitalar;Pequeno;104;108;2;1,5;0;0;0;0;0,51;0,51;0,52;0;0;0;201801;26/02/2018 11:03
UNIMED ARAGUARI COOPERATIVA DE TRABALHO MÉDICO LTDA. (354325);Médico Hospitalar;Pequeno;126;179;1,36;0,68;0,68;0;0,68;2,06;3,44;2,76;3,45;2,07;2,08;2,09;201801;26/02/2018 11:03
UNIMED ARARUAMA COOPERATIVA DE TRABALHO MÉDICO LTDA (335215);Médico Hospitalar;Pequeno;46;46;8,12;7,62;6,09;3,55;4,05;2,53;3,55;3,04;3,04;1,01;0;2,5;201801;26/02/2018 11:03
UNIMED ARAXÁ COOPERATIVA DE TRABALHO MÉDICO LTDA. (331651);Médico Hospitalar;Médio;194;186;0,4;0,4;0;0,4;0,41;0,41;0;0;0;0;0,4;0,4;201801;26/02/2018 11:03
UNIMED BARBACENA - COOPERATIVA DE TRABALHO MÉDICO LTDA (309087);Médico Hospitalar;Médio;146;127;0,86;1,3;1,29;0,43;0,43;1,29;2,14;2,13;1,7;0,85;0,42;0;201801;26/02/2018 11:03
UNIMED BARRA DO GARÇAS - COOPERATIVA DE TRABALHO MÉDICO (304468);Médico Hospitalar;Pequeno;137;143;1,21;1,2;1,81;1,82;1,22;0,62;0;0,63;0,63;0,63;0;0;201801;26/02/2018 11:03
UNIMED BLUMENAU - COOPERATIVA DE TRABALHO MEDICO (334561);Médico Hospitalar;Médio;144;69;0,88;0,78;0,87;0,68;1,06;1,06;0,68;0,39;0,87;1,45;1,34;0,96;201801;26/02/2018 11:03
UNIMED BOA VISTA COOPERATIVA DE TRABALHO MÉDICO (304158);Médico Hospitalar;Pequeno;189;194;0;0;0;26,39;20,24;9,68;6,12;4,3;7,77;3,35;6,04;4,26;201801;26/02/2018 11:03
UNIMED CABO FRIO COOPERATIVA TRABALHO MÉDICO LTDA. (323357);Médico Hospitalar;Pequeno;61;58;4,47;5,92;5,87;5,84;4,33;7,18;5,71;9,89;7;5,55;1,39;2,78;201801;26/02/2018 11:03
UNIMED CAÇADOR COOPERATIVA DE TRABALHO MÉDICO DA REGIÃO DO CONTESTADO (346951);Médico Hospitalar;Pequeno;152;163;0,95;0,95;0,91;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
UNIMED CACERES COOPERATIVA DE TRABALHO MÉDICO  (350346);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0,78;0,78;0,77;0,77;0,77;201801;26/02/2018 11:03
UNIMED CAJAZEIRAS - SOCIEDADE COOPERATIVA DE TRABALHO MÉDICO (344141);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
UNIMED CALDAS NOVAS - COOPERATIVA DE TRABALHO MEDICO (343765);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
UNIMED CAMPINA GRANDE - COOPERATIVA DE TRABALHO MEDICO LTDA (367397);Médico Hospitalar;Médio;81;82;1,83;2,06;1,83;1,83;1,72;1,63;1,94;1,36;1,76;1,95;1,95;1,72;201801;26/02/2018 11:03
UNIMED CAMPINAS - COOPERATIVA DE TRABALHO MÉDICO (335690);Médico Hospitalar;Grande;61;62;1,04;1,1;1,15;1,08;1,14;1,39;1,46;1,42;1,44;1,38;1,26;1,08;201801;26/02/2018 11:03
UNIMED CAMPO BELO- COOPERATIVA DE TRABALHO MÉDICO (367613);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
UNIMED CAMPO GRANDE MS COOPERATIVA DE TRABALHO MÉDICO (312851);Médico Hospitalar;Grande;46;46;1,88;2,16;2,25;2,54;2,28;2,09;1,52;1,42;1,23;0,94;0,66;0,67;201801;26/02/2018 11:03
UNIMED CARATINGA - COOPERATIVA DE TRABALHO MÉDICO LTDA (347736);Médico Hospitalar;Pequeno;189;131;0;1,44;1,46;1,49;0;3,07;3,1;6,28;3,17;3,19;0;0;201801;26/02/2018 11:03
UNIMED CARUARU-COOPERATIVA DE TRABALHO MEDICO (340952);Médico Hospitalar;Médio;17;32;6,23;4,94;3,82;3,02;3,36;3,03;3,87;4,37;4,88;5,21;4,72;4,55;201801;26/02/2018 11:03
UNIMED CATAGUASES COOPERATIVA DE TRABALHO MÉDICO LTDA (315648);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
UNIMED CENTRO OESTE PAULISTA - FEDERAÇÃO INTRAFEDERATIVA DAS COOPERATIVAS MÉDICAS (357138);Médico Hospitalar;Pequeno;7;15;68,1;33,44;33,08;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
